Look at the bright side of life.,1,Cheerfulness,0.81
Believe that criminals should receive help rather than punishment.,1,Liberalism,0.86
Love to read challenging material.,1,Intellect,0.86
Can handle a lot of information.,1,Intellect,0.86
Obstruct others' plans.,-1,Morality,0.75
Often feel blue.,1,Depression,0.88
Would never go hang gliding or bungee jumping.,-1,Excitement-Seeking,0.78
Fear for the worst.,1,Anxiety,0.83
Laugh aloud.,1,Cheerfulness,0.81
Enjoy thinking about things.,1,Intellect,0.86
Demand quality.,1,Achievement-Striving,0.78
Like to take my time.,-1,Activity-Level,0.71
Trust what people say.,1,Trust,0.82
Turn my back on others.,-1,Altruism,0.77
Am relaxed most of the time.,-1,Anxiety,0.83
Need a push to get started.,-1,Self-Discipline,0.85
Readily overcome setbacks.,-1,Vulnerability,0.82
Love surprise parties.,1,Gregariousness,0.79
Am hard to get to know.,-1,Friendliness,0.87
Stick to my chosen path.,1,Cautiousness,0.76
Do not like concerts.,-1,Aesthetic Appreciation/Artistic Interests,0.84
Put little time and effort into my work.,-1,Achievement-Striving,0.78
Feel that my life lacks direction.,1,Depression,0.88
Do the opposite of what is asked.,-1,Dutifulness,0.71
Keep my promises.,1,Dutifulness,0.71
Find it difficult to approach others.,1,Self-consciousness,0.80
Choose my words with care.,1,Cautiousness,0.76
Believe in the importance of art.,1,Aesthetic Appreciation/Artistic Interests,0.84
Make rash decisions.,-1,Cautiousness,0.76
Tend to vote for liberal political candidates.,1,Liberalism,0.86
Cheer people up.,1,Friendliness,0.87
Do just enough work to get by.,-1,Achievement-Striving,0.78
Don't worry about things that have already happened.,-1,Anxiety,0.83
Tell the truth.,1,Dutifulness,0.71
Distrust people.,-1,Trust,0.82
Get angry easily.,1,Anger,0.88
Like to visit new places.,1,Adventurousness,0.77
Work hard.,1,Achievement-Striving,0.78
Often feel uncomfortable around others.,-1,Friendliness,0.87
Get irritated easily.,1,Anger,0.88
Am able to control my cravings.,-1,Immoderation,0.77
Can manage many things at the same time.,1,Activity-Level,0.71
Am not easily disturbed by events.,-1,Anxiety,0.83
Enjoy the beauty of nature.,1,Aesthetic Appreciation/Artistic Interests,0.84
Am easily intimidated.,1,Self-consciousness,0.80
Rarely notice my emotional reactions.,-1,Emotionality,0.81
Keep in the background.,-1,Assertiveness,0.84
Am concerned about others.,1,Altruism,0.77
Get overwhelmed by emotions.,1,Vulnerability,0.82
Dislike being the center of attention.,1,Modesty/Humility,0.77
Experience my emotions intensely.,1,Emotionality,0.81
Like to stand during the national anthem.,-1,Liberalism,0.86
Love to help others.,1,Altruism,0.77
Am able to stand up for myself.,-1,Self-consciousness,0.80
Leave my belongings around.,-1,Orderliness,0.82
Act comfortably with others.,1,Friendliness,0.87
Suspect hidden motives in others.,-1,Trust,0.82
Am not bothered by messy people.,-1,Orderliness,0.82
Am calm even in tense situations.,-1,Vulnerability,0.82
Take advantage of others.,-1,Morality,0.75
Believe that people are basically moral.,1,Trust,0.82
Want everything to be just right.,1,Orderliness,0.82
Believe that others have good intentions.,1,Trust,0.82
Take charge.,1,Assertiveness,0.84
Leave a mess in my room.,-1,Orderliness,0.82
Am indifferent to the feelings of others.,-1,Altruism,0.77
Am not highly motivated to succeed.,-1,Achievement-Striving,0.78
Can't stand confrontations.,1,Cooperation,0.73
Love to daydream.,1,Imagination,0.83
Seldom feel blue.,-1,Depression,0.88
Am always busy.,1,Activity-Level,0.71
React quickly.,1,Activity-Level,0.71
Pay my bills on time.,1,Dutifulness,0.71
Cheat to get ahead.,-1,Morality,0.75
Seldom joke around.,-1,Cheerfulness,0.81
Consider myself an average person.,1,Modesty/Humility,0.77
Try to lead others.,1,Assertiveness,0.84
Feel comfortable around people.,1,Friendliness,0.87
Love to eat.,1,Immoderation,0.77
Trust others.,1,Trust,0.82
Do not like art.,-1,Aesthetic Appreciation/Artistic Interests,0.84
Hate to seem pushy.,1,Cooperation,0.73
Rarely overindulge.,-1,Immoderation,0.77
Set high standards for myself and others.,1,Achievement-Striving,0.78
Am not easily amused.,-1,Cheerfulness,0.81
Stumble over my words.,1,Self-consciousness,0.80
Am always on the go.,1,Activity-Level,0.71
Seldom get mad.,-1,Anger,0.88
Like music.,1,Aesthetic Appreciation/Artistic Interests,0.84
Believe in one true religion.,-1,Liberalism,0.86
Get others to do my duties.,-1,Dutifulness,0.71
Get back at others.,-1,Cooperation,0.73
Adapt easily to new situations.,-1,Anxiety,0.83
Like to begin new things.,1,Adventurousness,0.77
Amuse my friends.,1,Cheerfulness,0.81
Am a creature of habit.,-1,Adventurousness,0.77
Wait for others to lead the way.,-1,Assertiveness,0.84
Complete tasks successfully.,1,Self-Efficacy,0.78
Am always prepared.,1,Self-Discipline,0.85
Rush into things.,-1,Cautiousness,0.76
Avoid difficult reading material.,-1,Intellect,0.86
Don't know why I do some of the things I do.,1,Immoderation,0.77
Am not interested in abstract ideas.,-1,Intellect,0.86
Love large parties.,1,Gregariousness,0.79
Believe in an eye for an eye.,-1,Sympathy,0.75
Am not embarrassed easily.,-1,Self-consciousness,0.80
Try not to think about the needy.,-1,Sympathy,0.75
Believe that we should be tough on crime.,-1,Liberalism,0.86
Am sure of my ground.,1,Self-Efficacy,0.78
Am not interested in other people's problems.,-1,Sympathy,0.75
Often forget to put things back in their proper place.,-1,Orderliness,0.82
Break rules.,-1,Dutifulness,0.71
Dislike new foods.,-1,Adventurousness,0.77
Suffer from others' sorrows.,1,Sympathy,0.75
Don't like to draw attention to myself.,-1,Assertiveness,0.84
Insult people.,-1,Cooperation,0.73
Experience very few emotional highs and lows.,-1,Emotionality,0.81
Would never cheat on my taxes.,1,Morality,0.75
Put people under pressure.,-1,Morality,0.75
Am wary of others.,-1,Trust,0.82
Am not bothered by difficult social situations.,-1,Self-consciousness,0.80
Worry about things.,1,Anxiety,0.83
Know how to get around the rules.,-1,Morality,0.75
Dislike myself.,1,Depression,0.88
Get upset easily.,1,Anger,0.88
Like to solve complex problems.,1,Intellect,0.86
Radiate joy.,1,Cheerfulness,0.81
Seek to influence others.,1,Assertiveness,0.84
Prefer to stick with things that I know.,-1,Adventurousness,0.77
Act without thinking.,-1,Cautiousness,0.76
Misrepresent the facts.,-1,Dutifulness,0.71
Am not really interested in others.,-1,Friendliness,0.87
Tend to dislike soft-hearted people.,-1,Sympathy,0.75
Contradict others.,-1,Cooperation,0.73
Have difficulty understanding abstract ideas.,-1,Intellect,0.86
Love flowers.,1,Aesthetic Appreciation/Artistic Interests,0.84
Never spend more than I can afford.,-1,Immoderation,0.77
Make people feel welcome.,1,Altruism,0.77
Seek quiet.,-1,Gregariousness,0.79
Interested in many things.,1,Adventurousness,0.77
Use flattery to get ahead.,-1,Morality,0.75
Know how to get things done.,1,Self-Efficacy,0.78
Act wild and crazy.,1,Excitement-Seeking,0.78
Tend to vote for conservative political candidates.,-1,Liberalism,0.86
Don't like the idea of change.,-1,Adventurousness,0.77
Look down on others.,-1,Altruism,0.77
Have difficulty imagining things.,-1,Imagination,0.83
Talk to a lot of different people at parties.,1,Gregariousness,0.79
Seldom toot my own horn.,1,Modesty/Humility,0.77
Excel in what I do.,1,Self-Efficacy,0.78
Have a vivid imagination.,1,Imagination,0.83
Go on binges.,1,Immoderation,0.77
Believe laws should be strictly enforced.,-1,Liberalism,0.86
Stick to the rules.,1,Morality,0.75
Go straight for the goal.,1,Achievement-Striving,0.78
Avoid crowds.,-1,Gregariousness,0.79
Believe people should fend for themselves.,-1,Sympathy,0.75
Have frequent mood swings.,1,Depression,0.88
Think that all will be well.,1,Trust,0.82
Willing to try anything once.,1,Excitement-Seeking,0.78
Do things according to a plan.,1,Orderliness,0.82
Love a good fight.,-1,Cooperation,0.73
Do a lot in my spare time.,1,Activity-Level,0.71
Am afraid to draw attention to myself.,1,Self-consciousness,0.80
Dislike changes.,-1,Adventurousness,0.77
Waste my time.,-1,Self-Discipline,0.85
Turn plans into actions.,1,Achievement-Striving,0.78
Get chores done right away.,1,Self-Discipline,0.85
Make people feel uncomfortable.,-1,Altruism,0.77
Love excitement.,1,Excitement-Seeking,0.78
Enjoy being part of a loud crowd.,1,Excitement-Seeking,0.78
Can't stand weak people.,-1,Sympathy,0.75
Don't see the consequences of things.,-1,Self-Efficacy,0.78
Am not easily bothered by things.,-1,Anxiety,0.83
Don't understand people who get emotional.,-1,Emotionality,0.81
Come up with good solutions.,1,Self-Efficacy,0.78
Handle tasks smoothly.,1,Self-Efficacy,0.78
Can talk others into doing things.,1,Assertiveness,0.84
Carry out my plans.,1,Self-Discipline,0.85
Feel sympathy for those who are worse off than myself.,1,Sympathy,0.75
Am easy to satisfy.,1,Cooperation,0.73
Misjudge situations.,-1,Self-Efficacy,0.78
Enjoy wild flights of fantasy.,1,Imagination,0.83
Involve others in what I am doing.,1,Gregariousness,0.79
Keep others at a distance.,-1,Friendliness,0.87
Avoid mistakes.,1,Cautiousness,0.76
Do not enjoy going to art museums.,-1,Aesthetic Appreciation/Artistic Interests,0.84
Warm up quickly to others.,1,Friendliness,0.87
Remain calm under pressure.,-1,Vulnerability,0.82
Anticipate the needs of others.,1,Altruism,0.77
Have difficulty starting tasks.,-1,Self-Discipline,0.85
Do not enjoy watching dance performances.,-1,Aesthetic Appreciation/Artistic Interests,0.84
Am often down in the dumps.,1,Depression,0.88
Like to tidy up.,1,Orderliness,0.82
Take no time for others.,-1,Altruism,0.77
Try to understand myself.,1,Emotionality,0.81
Do crazy things.,-1,Cautiousness,0.76
Get caught up in my problems.,1,Anxiety,0.83
Am not bothered by disorder.,-1,Orderliness,0.82
Easily resist temptations.,-1,Immoderation,0.77
Never splurge.,-1,Immoderation,0.77
Enjoy examining myself and my life.,1,Emotionality,0.81
Am not easily affected by my emotions.,-1,Emotionality,0.81
Feel that I'm unable to deal with things.,1,Vulnerability,0.82
Am very pleased with myself.,-1,Depression,0.88
Believe that we coddle criminals too much.,-1,Liberalism,0.86
Want to be left alone.,-1,Gregariousness,0.79
Like to take it easy.,-1,Activity-Level,0.71
Love action.,1,Excitement-Seeking,0.78
Only feel comfortable with friends.,1,Self-consciousness,0.80
Am comfortable in unfamiliar situations.,-1,Self-consciousness,0.80
Spend time reflecting on things.,1,Imagination,0.83
Start tasks right away.,1,Self-Discipline,0.85
Become overwhelmed by events.,1,Vulnerability,0.82
Seldom get emotional.,-1,Emotionality,0.81
Prefer variety to routine.,1,Adventurousness,0.77
Like to get lost in thought.,1,Imagination,0.83
Have a lot of fun.,1,Cheerfulness,0.81
Seldom get lost in thought.,-1,Imagination,0.83
Postpone decisions.,-1,Self-Discipline,0.85
Have a low opinion of myself.,1,Depression,0.88
Do not like poetry.,-1,Aesthetic Appreciation/Artistic Interests,0.84
Enjoy being reckless.,1,Excitement-Seeking,0.78
Am not easily annoyed.,-1,Anger,0.88
Pretend to be concerned for others.,-1,Morality,0.75
Jump into things without thinking.,-1,Cautiousness,0.76
Have a sharp tongue.,-1,Cooperation,0.73
Rarely complain.,-1,Anger,0.88
text,key,label,alpha
Feel others' emotions.,1,Emotionality,0.81
Have a high opinion of myself.,-1,Modesty/Humility,0.77
Often make last-minute plans.,-1,Cautiousness,0.76
Am afraid of many things.,1,Anxiety,0.83
Make myself the center of attention.,-1,Modesty/Humility,0.77
Have little to contribute.,-1,Self-Efficacy,0.78
Have a good word for everyone.,1,Altruism,0.77
Believe that too much tax money goes to support artists.,-1,Liberalism,0.86
Believe that I am better than others.,-1,Modesty/Humility,0.77
Get to work at once.,1,Self-Discipline,0.85
Can't make up my mind.,1,Vulnerability,0.82
Am passionate about causes.,1,Emotionality,0.81
Laugh my way through life.,1,Cheerfulness,0.81
Feel comfortable with myself.,-1,Depression,0.88
Try to follow the rules.,1,Dutifulness,0.71
Lose my temper.,1,Anger,0.88
Yell at people.,-1,Cooperation,0.73
Avoid contacts with others.,-1,Friendliness,0.87
Can handle complex problems.,-1,Vulnerability,0.82
React slowly.,-1,Activity-Level,0.71
Like order.,1,Orderliness,0.82
Often eat too much.,1,Immoderation,0.77
Believe that people are essentially evil.,-1,Trust,0.82
