instrument,alpha,key,text,label
NEO,0.78,1,Go straight for the goal.,Achievement-Striving
NEO,0.78,1,Plunge into tasks with all my heart.,Achievement-Striving
NEO,0.78,1,Demand quality.,Achievement-Striving
NEO,0.78,1,Set high standards for myself and others.,Achievement-Striving
NEO,0.78,1,Turn plans into actions.,Achievement-Striving
NEO,0.78,1,Do more than what's expected of me.,Achievement-Striving
NEO,0.78,1,Work hard.,Achievement-Striving
NEO,0.78,-1,Do just enough work to get by.,Achievement-Striving
NEO,0.78,-1,Am not highly motivated to succeed.,Achievement-Striving
NEO,0.78,-1,Put little time and effort into my work.,Achievement-Striving
NEO,0.71,1,Am always on the go.,Activity-Level
NEO,0.71,1,Am always busy.,Activity-Level
NEO,0.71,1,React quickly.,Activity-Level
NEO,0.71,1,Can manage many things at the same time.,Activity-Level
NEO,0.71,1,Do a lot in my spare time.,Activity-Level
NEO,0.71,-1,React slowly.,Activity-Level
NEO,0.71,-1,Like to take my time.,Activity-Level
NEO,0.71,-1,Like a leisurely lifestyle.,Activity-Level
NEO,0.71,-1,Like to take it easy.,Activity-Level
NEO,0.71,-1,Let things proceed at their own pace.,Activity-Level
NEO,0.77,1,Like to visit new places.,Adventurousness
NEO,0.77,1,Interested in many things.,Adventurousness
NEO,0.77,1,Prefer variety to routine.,Adventurousness
NEO,0.77,1,Like to begin new things.,Adventurousness
NEO,0.77,-1,Don't like the idea of change.,Adventurousness
NEO,0.77,-1,Prefer to stick with things that I know.,Adventurousness
NEO,0.77,-1,Dislike changes.,Adventurousness
NEO,0.77,-1,Am a creature of habit.,Adventurousness
NEO,0.77,-1,Am attached to conventional ways.,Adventurousness
NEO,0.77,-1,Dislike new foods.,Adventurousness
NEO,0.84,1,Love flowers.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,1,Like music.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,1,See beauty in things that others might not notice.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,1,Believe in the importance of art.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,1,Enjoy the beauty of nature.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,-1,Do not like poetry.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,-1,Do not enjoy watching dance performances.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,-1,Do not enjoy going to art museums.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,-1,Do not like art.,Aesthetic Appreciation/Artistic Interests
NEO,0.84,-1,Do not like concerts.,Aesthetic Appreciation/Artistic Interests
NEO,0.77,1,Anticipate the needs of others.,Altruism
NEO,0.77,1,Love to help others.,Altruism
NEO,0.77,1,Have a good word for everyone.,Altruism
NEO,0.77,1,Make people feel welcome.,Altruism
NEO,0.77,1,Am concerned about others.,Altruism
NEO,0.77,-1,Am indifferent to the feelings of others.,Altruism
NEO,0.77,-1,Turn my back on others.,Altruism
NEO,0.77,-1,Make people feel uncomfortable.,Altruism
NEO,0.77,-1,Look down on others.,Altruism
NEO,0.77,-1,Take no time for others.,Altruism
NEO,0.88,1,Get irritated easily.,Anger
NEO,0.88,1,Am often in a bad mood.,Anger
NEO,0.88,1,Get angry easily.,Anger
NEO,0.88,1,Lose my temper.,Anger
NEO,0.88,1,Get upset easily.,Anger
NEO,0.88,-1,Am not easily annoyed.,Anger
NEO,0.88,-1,Rarely get irritated.,Anger
NEO,0.88,-1,Seldom get mad.,Anger
NEO,0.88,-1,Keep my cool.,Anger
NEO,0.88,-1,Rarely complain.,Anger
NEO,0.83,1,Am afraid of many things.,Anxiety
NEO,0.83,1,Get stressed out easily.,Anxiety
NEO,0.83,1,Get caught up in my problems.,Anxiety
NEO,0.83,1,Worry about things.,Anxiety
NEO,0.83,1,Fear for the worst.,Anxiety
NEO,0.83,-1,Adapt easily to new situations.,Anxiety
NEO,0.83,-1,Am relaxed most of the time.,Anxiety
NEO,0.83,-1,Am not easily disturbed by events.,Anxiety
NEO,0.83,-1,Am not easily bothered by things.,Anxiety
NEO,0.83,-1,Don't worry about things that have already happened.,Anxiety
NEO,0.84,1,Take charge.,Assertiveness
NEO,0.84,1,Can talk others into doing things.,Assertiveness
NEO,0.84,1,Try to lead others.,Assertiveness
NEO,0.84,1,Take control of things.,Assertiveness
NEO,0.84,1,Seek to influence others.,Assertiveness
NEO,0.84,-1,Hold back my opinions.,Assertiveness
NEO,0.84,-1,Keep in the background.,Assertiveness
NEO,0.84,-1,Have little to say.,Assertiveness
NEO,0.84,-1,Don't like to draw attention to myself.,Assertiveness
NEO,0.84,-1,Wait for others to lead the way.,Assertiveness
NEO,0.76,1,Stick to my chosen path.,Cautiousness
NEO,0.76,1,Avoid mistakes.,Cautiousness
NEO,0.76,1,Choose my words with care.,Cautiousness
NEO,0.76,-1,Make rash decisions.,Cautiousness
NEO,0.76,-1,Act without thinking.,Cautiousness
NEO,0.76,-1,Jump into things without thinking.,Cautiousness
NEO,0.76,-1,Rush into things.,Cautiousness
NEO,0.76,-1,Like to act on a whim.,Cautiousness
NEO,0.76,-1,Often make last-minute plans.,Cautiousness
NEO,0.76,-1,Do crazy things.,Cautiousness
NEO,0.81,1,Amuse my friends.,Cheerfulness
NEO,0.81,1,Look at the bright side of life.,Cheerfulness
NEO,0.81,1,Love life.,Cheerfulness
NEO,0.81,1,Laugh aloud.,Cheerfulness
NEO,0.81,1,Express childlike joy.,Cheerfulness
NEO,0.81,1,Radiate joy.,Cheerfulness
NEO,0.81,1,Laugh my way through life.,Cheerfulness
NEO,0.81,1,Have a lot of fun.,Cheerfulness
NEO,0.81,-1,Seldom joke around.,Cheerfulness
NEO,0.81,-1,Am not easily amused.,Cheerfulness
NEO,0.73,1,Am easy to satisfy.,Cooperation
NEO,0.73,1,Can't stand confrontations.,Cooperation
NEO,0.73,1,Hate to seem pushy.,Cooperation
NEO,0.73,-1,Insult people.,Cooperation
NEO,0.73,-1,Yell at people.,Cooperation
NEO,0.73,-1,Hold a grudge.,Cooperation
NEO,0.73,-1,Love a good fight.,Cooperation
NEO,0.73,-1,Contradict others.,Cooperation
